Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Strain Source]	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Sex]	Term Source REF	Term Accession Number	Characteristics[Generation]	Characteristics[age]	Unit	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Altered Gravity]	Protocol REF	Parameter Value[habitat]	Parameter Value[Age of F0 at Launch]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Cycle]	Parameter Value[light source]	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[Experiment Start Date (DD/MM/YYYY)]	Comment[Experiment End Date (DD/MM/YYYY)]
Spaceflight microgravity Male 3	SFug_M3	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	GLDS	https://genelab-data.ndc.nasa.gov/	Bloomington Stock Center	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	head	RBO	http://purl.obolibrary.org/obo/UBERON_0000033	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	F1 generation	around 6 to 12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	uG	treatment protocol	MVP hardware	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	12h Light:12h Dark	white LED illumination	sample collection	RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	03/04/2018	01/05/2018
Spaceflight microgravity Male 4	SFug_M4	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	GLDS	https://genelab-data.ndc.nasa.gov/	Bloomington Stock Center	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	head	RBO	http://purl.obolibrary.org/obo/UBERON_0000033	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	F1 generation	around 6 to 12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	uG	treatment protocol	MVP hardware	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	12h Light:12h Dark	white LED illumination	sample collection	RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	03/04/2018	01/05/2018
Spaceflight microgravity Female 1	SFug_F1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	GLDS	https://genelab-data.ndc.nasa.gov/	Bloomington Stock Center	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	head	RBO	http://purl.obolibrary.org/obo/UBERON_0000033	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	F1 generation	around 6 to 12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	uG	treatment protocol	MVP hardware	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	12h Light:12h Dark	white LED illumination	sample collection	RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	03/04/2018	01/05/2018
Spaceflight microgravity Female 2	SFug_F2	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	GLDS	https://genelab-data.ndc.nasa.gov/	Bloomington Stock Center	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	head	RBO	http://purl.obolibrary.org/obo/UBERON_0000033	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	F1 generation	around 6 to 12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	uG	treatment protocol	MVP hardware	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	12h Light:12h Dark	white LED illumination	sample collection	RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	03/04/2018	01/05/2018
Spaceflight microgravity Female 3	SFug_F3	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	GLDS	https://genelab-data.ndc.nasa.gov/	Bloomington Stock Center	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	head	RBO	http://purl.obolibrary.org/obo/UBERON_0000033	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	F1 generation	around 6 to 12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	uG	treatment protocol	MVP hardware	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	12h Light:12h Dark	white LED illumination	sample collection	RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	03/04/2018	01/05/2018
Spaceflight microgravity Female 4	SFug_F4	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	GLDS	https://genelab-data.ndc.nasa.gov/	Bloomington Stock Center	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	head	RBO	http://purl.obolibrary.org/obo/UBERON_0000033	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	F1 generation	around 6 to 12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	uG	treatment protocol	MVP hardware	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	12h Light:12h Dark	white LED illumination	sample collection	RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	03/04/2018	01/05/2018
Spaceflight 1g_Male 1	SF1g_M1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	GLDS	https://genelab-data.ndc.nasa.gov/	Bloomington Stock Center	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	head	RBO	http://purl.obolibrary.org/obo/UBERON_0000033	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	F1 generation	around 6 to 12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	1G in centrifuge	treatment protocol	MVP hardware	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	12h Light:12h Dark	white LED illumination	sample collection	RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	03/04/2018	01/05/2018
Spaceflight 1g_Male 2	SF1g_M2	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	GLDS	https://genelab-data.ndc.nasa.gov/	Bloomington Stock Center	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	head	RBO	http://purl.obolibrary.org/obo/UBERON_0000033	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	F1 generation	around 6 to 12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	1G in centrifuge	treatment protocol	MVP hardware	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	12h Light:12h Dark	white LED illumination	sample collection	RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	03/04/2018	01/05/2018
Spaceflight 1g_Male 3	SF1g_M3	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	GLDS	https://genelab-data.ndc.nasa.gov/	Bloomington Stock Center	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	head	RBO	http://purl.obolibrary.org/obo/UBERON_0000033	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	F1 generation	around 6 to 12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	1G in centrifuge	treatment protocol	MVP hardware	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	12h Light:12h Dark	white LED illumination	sample collection	RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	03/04/2018	01/05/2018
Spaceflight 1g_Male 4	SF1g_M4	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	GLDS	https://genelab-data.ndc.nasa.gov/	Bloomington Stock Center	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	head	RBO	http://purl.obolibrary.org/obo/UBERON_0000033	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	F1 generation	around 6 to 12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	1G in centrifuge	treatment protocol	MVP hardware	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	12h Light:12h Dark	white LED illumination	sample collection	RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	03/04/2018	01/05/2018
Spaceflight 1g_Female 1	SF1g_F1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	GLDS	https://genelab-data.ndc.nasa.gov/	Bloomington Stock Center	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	head	RBO	http://purl.obolibrary.org/obo/UBERON_0000033	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	F1 generation	around 6 to 12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	1G in centrifuge	treatment protocol	MVP hardware	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	12h Light:12h Dark	white LED illumination	sample collection	RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	03/04/2018	01/05/2018
Spaceflight 1g_Female 2	SF1g_F2	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	GLDS	https://genelab-data.ndc.nasa.gov/	Bloomington Stock Center	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	head	RBO	http://purl.obolibrary.org/obo/UBERON_0000033	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	F1 generation	around 6 to 12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	1G in centrifuge	treatment protocol	MVP hardware	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	12h Light:12h Dark	white LED illumination	sample collection	RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	03/04/2018	01/05/2018
Spaceflight 1g_Female 3	SF1g_F3	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	GLDS	https://genelab-data.ndc.nasa.gov/	Bloomington Stock Center	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	head	RBO	http://purl.obolibrary.org/obo/UBERON_0000033	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	F1 generation	around 6 to 12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	1G in centrifuge	treatment protocol	MVP hardware	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	12h Light:12h Dark	white LED illumination	sample collection	RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	03/04/2018	01/05/2018
Spaceflight 1g_Female 4	SF1g_F4	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	GLDS	https://genelab-data.ndc.nasa.gov/	Bloomington Stock Center	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	head	RBO	http://purl.obolibrary.org/obo/UBERON_0000033	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	F1 generation	around 6 to 12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	1G in centrifuge	treatment protocol	MVP hardware	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	12h Light:12h Dark	white LED illumination	sample collection	RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	03/04/2018	01/05/2018
